step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
542,0.29477,0.93151,,,,
543,0.01481,1.0,,,,
544,0.12916,0.93333,,,,
545,0.00061,1.0,,,,
546,0.0005,1.0,,,,
547,0.00218,1.0,,,,
548,1e-05,1.0,,,,
549,0.0016,1.0,,,,
550,0.07399,0.95238,,,,
551,1e-05,1.0,,,,
552,0.01151,1.0,,,,
553,0.37977,0.85714,,,,
554,0.00202,1.0,,,,
555,0.0036,1.0,,,,
556,0.17467,1.0,,,,
557,5e-05,1.0,,,,
558,0.00492,1.0,,,,
559,0.00274,1.0,,,,
560,0.13224,0.90476,,,,
561,0.00282,1.0,,,,
562,0.00023,1.0,,,,
563,0.00127,1.0,,,,
564,0.03183,1.0,,,,
565,1e-05,1.0,,,,
566,2e-05,1.0,,,,
567,0.00026,1.0,,,,
568,0.0028,1.0,,,,
569,0.00017,1.0,,,,
570,0.00851,1.0,,,,
571,0.00107,1.0,,,,
572,1e-05,1.0,,,,
573,0.00019,1.0,,,,
574,1e-05,1.0,,,,
575,4e-05,1.0,,,,
576,4e-05,1.0,,,,
577,0.00711,1.0,,,,
578,0.00991,1.0,,,,
579,0.05463,0.95833,,,,
580,4e-05,1.0,,,,
581,2e-05,1.0,,,,
582,0.00986,1.0,,,,
583,5e-05,1.0,,,,
584,0.00304,1.0,,,,
585,0.00056,1.0,,,,
586,0.00109,1.0,,,,
587,0.00126,1.0,,,,
588,0.00034,1.0,,,,
589,0.00037,1.0,,,,
590,0.00172,1.0,,,,
591,0.00157,1.0,,,,
592,0.07529,1.0,,,,
593,0.00081,1.0,,,,
594,0.00044,1.0,,,,
595,0.00157,1.0,,,,
596,0.00027,1.0,,,,
597,0.00024,1.0,,,,
598,2e-05,1.0,,,,
599,0.00383,1.0,,,,
600,0.82313,0.66667,,,,
601,0.00014,1.0,,,,
602,0.01129,1.0,,,,
603,0.00155,1.0,,,,
604,0.05159,1.0,,,,
605,0.00022,1.0,,,,
606,0.00034,1.0,,,,
607,1.72506,0.8,,,,
608,0.00012,1.0,,,,
609,0.02833,1.0,,,,
610,0.00032,1.0,,,,
611,3e-05,1.0,,,,
612,0.003,1.0,,,,
613,0.00044,1.0,,,,
614,0.00057,1.0,,,,
615,0.00201,1.0,,,,
616,0.00023,1.0,,,,
617,0.00217,1.0,,,,
618,0.11312,0.95,,,,
619,0.03102,1.0,,,,
620,1.72927,0.83333,,,,
621,0.00064,1.0,,,,
622,0.0151,1.0,,,,
623,0.00012,1.0,,,,
624,0.00108,1.0,,,,
625,0.00272,1.0,,,,
